PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
305862150,23031886,10,2023-03-02T07:29:00,"3800 Block Forbes Ave Pittsburgh, PA 15213",N,Central Oakland,4,HARRASSMENT,2709(a) Harassment.,405,3,3,-79.9567095,40.44152182
305862218,23031908,27,2023-03-03T00:23:00,"West Liberty Ave & Wenzell Ave Pittsburgh, PA 15216",N,Beechview,6,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 1786 Required Financial Responsibility. / 1301 Registration and Certificate of Title Required.,1920,4,5,-80.02626684,40.3983077
307266552,23040602,29,2023-03-19T17:20:00,"100 Block Beltzhoover Ave Pittsburgh, PA 15210",N,Beltzhoover,3,RUNAWAYS - JUVENILE,029 Missing Juvenile,1809,3,5,-79.99767845,40.42217413
307325949,23040988,0,2023-03-20T09:00:00,"50 Block 11th St Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident): ,201,3,3,-79.98767554,40.4289675
307338710,23041034,0,2023-03-20T14:50:00,"700 Block Clarissa St Pittsburgh, PA 15219",N,Upper Hill,2,99,2701(b)(2) Simple Assault -  Child Under 12 / Adult 21 Or Older,506,6,3,-79.96150395,40.45417978
307341607,23041067,0,2023-03-20T15:20:00,"300 Block Meritt Ave Pittsburgh, PA 15227",N,Carrick,3,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): ,2904,4,3,-79.9848953,40.38367165
308039535,23045552,0,2023-03-28T16:16:00,"Coffey Way & 6th Ave Pittsburgh, PA 15222",Y,Central Business District,2,99,601.16 Public Urination And Defecation,201,6,6,-79.99892231,40.44189713
-3556013596,23034879,6,2023-03-08T10:00:00,"1800 Block Locust St Pittsburgh, PA 15219",N,Bluff,2,THEFT FROM AUTO,3934 Theft from Vehicle,103,6,3,-79.9813206,40.43640047
306447553,23035366,99,2023-03-09T14:10:00,"600 Block Smithfield  St Pittsburgh, PA 15222",Y,Central Business District,2,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,201,6,6,-79.99740883,40.44153322
306452633,23035185,14,2023-03-09T08:00:00,"600 Block Smithfield St Pittsburgh, PA 15222",N,Central Business District,2,CRIM MISCHIEF,3304 Criminal Mischief.,201,6,6,-79.99740883,40.44153322
306458016,23035385,99,2023-03-09T14:27:00,"7200 Block Susquehanna St Pittsburgh, PA 15208",N,Homewood South,5,DRUG INVESTIGATION,9124 Drug Investigation,1303,,,,
306458667,23035440,0,2023-03-09T17:00:00,"900 Block Valonia St Pittsburgh, PA 15220",N,Elliott,6,99,9994 PFA Service,2020,2,5,-80.03581878,40.44551774
306459540,23035441,0,2023-03-09T17:00:00,"900 Block Valonia St Pittsburgh, PA 15220",N,Elliott,6,99,9994 PFA Service,2020,2,5,-80.03581878,40.44551774
305774914,23031456,6,2023-03-02T06:00:00,"2100 Block Rhine St Pittsburgh, PA 15212",N,Spring Hill-City View,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2620,1,1,-79.99361351,40.46659028
305778770,23031476,14,2023-03-02T08:00:00,"300 Block 6th Ave Pittsburgh, PA 15222",N,Central Business District,2,CRIM MISCHIEF,3304 Criminal Mischief.,201,6,6,-79.99924836,40.44188192
305810525,23031613,11,2023-03-02T13:07:00,"2400 Block Baldwick Rd Pittsburgh, PA 15205",N,Oakwood,6,CREDIT CARDS,4106 Access Device Fraud,2812,2,5,-80.05896876,40.42686268
305812107,23031590,0,2023-03-02T13:30:00,"800 Block Dunster St Pittsburgh, PA 15226",N,Brookline,6,99,9999 9999 - (Misc. Incident): ,1917,,,,
305817900,23031488,10,2023-03-02T09:25:00,"7600 Block Bennett St Pittsburgh, PA 15221",N,Homewood South,5,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace ,1304,9,2,-79.89032148,40.45484566
305854371,23031871,0,2023-03-02T22:19:00,"300 Block Jacksonia St Pittsburgh, PA 15212",N,Central North Side,1,99,9998 Overdose Other,2503,6,1,-80.01065257,40.45782468
306968245,23038107,27,2023-03-15T06:45:00,"100 Block Bakery Sq Pittsburgh, PA 15206",N,Larimer,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1208,,,,
306988530,23038252,0,2023-03-15T12:50:00,"300 Block Republic St Pittsburgh, PA 15211",Y,Duquesne Heights,3,99,9999 9999 - (Misc. Incident): ,1911,2,5,-80.02656427,40.43881551
307016826,23038482,10,2023-03-15T19:12:00,"2900 Block Merwyn Ave Pittsburgh, PA 15204",N,Sheraden,6,SIMPLE ASSAULT,2701 Simple Assault. / 3503 Criminal Trespass,2018,2,5,-80.0504244,40.45572961
307019592,23038559,24,2023-03-15T21:27:00,"Beechwood Blvd & Monitor St Pittsburgh, PA 15217",N,Squirrel Hill South,4,DISORDERLY CONDUCT,5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING / 5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST / 3714 Careless Driving,1414,5,3,-79.92669615,40.42555714
-3556076698,23030805,6,2023-03-01T07:00:00,"1800 Block Realty Ave Pittsburgh, PA 15216",N,Beechview,6,THEFT FROM AUTO,3934 Theft from Vehicle,1920,,,,
305729809,23030981,6,2023-03-01T12:55:00,"1400 Block Locust St Pittsburgh, PA 15219",N,Bluff,2,THEFT,3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud,103,6,3,-79.9854587,40.43604397
305729868,23030991,0,2023-03-01T13:19:00,"500 Block Smithfield St Pittsburgh, PA 15222",N,Central Business District,2,99,9998 Overdose Other,201,6,6,-79.99811947,40.44034004
-3586041904,23037707,99,2023-03-14T09:00:00,"400 Block Ormsby St Pittsburgh, PA 15210",N,Mount Oliver,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1607,3,3,-79.98162324,40.41263205
306930149,23037921,6,2023-03-14T16:09:00,"5500 Block Walnut St Pittsburgh, PA 15232",N,Shadyside,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,703,8,2,-79.93365938,40.45104439
306978953,23038096,6,2023-03-15T05:57:00,"2300 Block Railroad St Pittsburgh, PA 15222",N,Strip District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3925 Receiving Stolen Property. / 1501 Drivers Required to be Licensed.,203,,,,
306981297,23038180,6,2023-03-15T09:00:00,"4800 Block Liberty Ave Pittsburgh, PA 15224",N,Bloomfield,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,804,7,2,-79.94702267,40.46036027
305887834,23032072,0,2023-03-03T10:56:00,"3500 Block Massachusetts Ave Pittsburgh, PA 15212",N,Brighton Heights,1,99,9994 PFA Service,2703,1,1,-80.0397263,40.47820586
305895821,23032068,99,2023-03-03T11:00:00,"Stanton Ave & Heberton St Pittsburgh, PA 15206",N,Highland Park,5,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),1106,7,2,-79.91695145,40.46858885
-3591032401,23032282,6,2023-03-03T11:00:00,"100 Block Shaler St Pittsburgh, PA 15211",N,Duquesne Heights,3,THEFT,3921 Theft by Unlawful Taking or Disposition. / 3304 Criminal Mischief.,1911,2,5,-80.0231162,40.44032467
305935325,23032289,0,2023-03-03T18:30:00,"200 Block 9th St Pittsburgh, PA 15222",Y,Central Business District,2,99,2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner,201,,,,
305945621,23032391,0,2023-03-03T21:45:00,"7600 Block Hamilton Ave Pittsburgh, PA 15221",N,Homewood South,5,99,8106 Shots Fired,1304,9,2,-79.89106961,40.4528606
305946812,23032422,27,2023-03-03T23:20:00,"29th St & Penn Ave Pittsburgh, PA 15222",N,Strip District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,203,7,6,-79.97420269,40.45784506
-3629021859,23032396,27,2023-03-03T21:53:00,"Saw Mill Run Blvd & Bausman St Pittsburgh, PA 15226",Y,Bon Air,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1806,4,5,-80.00607064,40.41107708
305947842,23032423,99,2023-03-04T00:53:00,"2700 Block Bergman St Pittsburgh, PA 15204",N,Sheraden,6,MENTAL 201/302,9498 302 (Mental),2018,2,5,-80.05139002,40.4529446
307354078,23041143,10,2023-03-20T17:54:00,"Smithfield St & Oliver Ave Pittsburgh, PA 15222",N,Central Business District,2,SIMPLE ASSAULT,2709 Harassment (Non-Specific) / 2701 Simple Assault.,201,6,6,-79.99816278,40.44080943
-3533090336,23041210,14,2023-03-20T19:48:00,"2600 Block S 18th St Pittsburgh, PA 15210",N,South Side Slopes,3,CRIM MISCHIEF,3304 Criminal Mischief.,1706,3,3,-79.98528692,40.42107246
307364091,23041259,99,2023-03-20T21:44:00,"Sarah St & S 14th St Pittsburgh, PA 15203",N,South Side Flats,3,FOUND PROPERTY,9489 Found Property,1702,3,3,-79.98407197,40.42764576
307367780,23041270,0,2023-03-21T01:30:00,"800 Block Eldora Pl Pittsburgh, PA 15210",N,Beltzhoover,3,99,9994 PFA Service,1809,3,5,-80.00131035,40.41586606
307446965,23041627,0,2023-03-21T15:51:00,"3300 Block Penn Ave Pittsburgh, PA 15201",N,Lower Lawrenceville,2,99,3926(a)(4) Theft of services; ACQUISITION OF SERVICES - refusal to pay or offer to pay for a service (hotels and restaurants),603,7,2,-79.96841799,40.46166765
307454063,23041672,23,2023-03-21T17:20:00,"Grant St & 6th Ave Pittsburgh, PA 15219",Y,Central Business District,2,PUBLIC DRUNKENESS,5505 Public Drunkenness,201,6,6,-79.99588553,40.44076456
307454934,23041565,99,2023-03-21T14:12:00,"30th St & Smallman St Pittsburgh, PA 15201",Y,Strip District,2,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),203,7,6,-79.97361,40.45952114
307456567,23041666,0,2023-03-21T11:00:00,"2200 Block Somers Dr Pittsburgh, PA 15219",N,Bedford Dwellings,2,99,9999 9999 - (Misc. Incident): ,509,,,,
307457763,23041516,6,2023-03-21T12:15:00,"1st Ave & Municipal Courts Dr Pittsburgh, PA 15219",N,Bluff,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,103,6,6,-79.99509237,40.43518655
308046351,23045658,6,2023-03-28T16:20:00,"400 Block Wood St Pittsburgh, PA 15222",N,Central Business District,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,201,6,6,-80.00108014,40.43943315
308108717,23046018,10,2023-03-29T13:44:00,"7300 Block Kelly St Pittsburgh, PA 15208",N,Homewood South,5,SIMPLE ASSAULT,2701 Simple Assault.,1303,9,2,-79.89483711,40.45503484
308113750,23046075,27,2023-03-29T15:45:00,"Hazelwood Ave & Calvary St Pittsburgh, PA 15207",N,Hazelwood,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1501,5,3,-79.93395418,40.41957999
306497584,23035557,18,2023-03-09T21:23:00,"Frankstown Ave & Brushton Ave Pittsburgh, PA 15221",Y,Larimer,5,STOLEN PROPERTY - OTHER,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 3354 Additional Parking Regulations.,1301,9,2,-79.88809639,40.45553444
306519517,23035684,99,2023-03-10T06:05:00,"7700 Block Frankstown Ave Pittsburgh, PA 15221",N,Homewood North,5,DRUG INVESTIGATION,9124 Drug Investigation,1301,9,2,-79.88806501,40.45551873
306542023,23035755,0,2023-03-07T08:50:00,"CITY STEPS NEAR 2101 ARLINGTON AVE. Pittsburgh, PA 15210",N,Allentown,3,99,633.20 Dangerous Dogs / 633.05 Rabies Vaccination / 633.02(a) Dog License Required; 3 Months or Older,1803,,,,
308123215,23046171,27,2023-03-29T18:11:00,"600 Block Southcrest Dr Pittsburgh, PA 15226",N,Brookline,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1917,4,5,-80.01355107,40.40782045
308124153,23046115,0,2023-03-29T16:35:00,"1600 Block Broadway Ave Pittsburgh, PA 15216",N,Beechview,6,99,3503(b.1) Criminal Trespass - Simple Trespasser,1916,4,5,-80.02493554,40.41046828
308238365,23045443,10,2023-03-15T13:00:00,"400 Block N Highland Ave Pittsburgh, PA 15206",N,East Liberty,5,HARRASSMENT,2709 Harassment (Non-Specific),1115,9,2,-79.92217494,40.46516578
305861941,23031910,29,2023-03-02T14:15:00,"200 Block Fern St Pittsburgh, PA 15224",N,Garfield,5,RUNAWAYS - JUVENILE,029 Missing Juvenile,1016,9,2,-79.937388,40.47178423
305868883,23031978,0,2023-03-03T06:00:00,"800 Block East Ohio St Pittsburgh, PA 15212",Y,East Allegheny,1,99,3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,2304,1,1,-79.99671093,40.45441867
305919344,23032126,99,2023-03-03T12:14:00,"4400 Block Centre Ave Pittsburgh, PA 15213",N,North Oakland,4,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),403,8,3,-79.95358262,40.45118592
305925589,23032236,0,2023-03-03T16:07:00,"2900 Block Devlin St Pittsburgh, PA 15210",N,Arlington,3,99,9093 Indirect Criminal Contempt,1603,3,3,-79.96760941,40.41484458
305933606,23032266,18,2023-03-03T17:27:00,"Tabor St & Oregon St Pittsburgh, PA 15204",N,Esplen,6,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 1543 Driving While Operating Privilege is Suspended or Revoked.,2017,2,5,-80.05384054,40.4620722
307104436,23038903,14,2023-03-16T16:07:00,"1400 Block Methyl St Pittsburgh, PA 15216",N,Beechview,6,CRIM MISCHIEF,3304 Criminal Mischief.,1916,4,5,-80.02602541,40.41422135
307105410,23038921,10,2023-03-16T16:35:00,"1700 Block Banksville Rd Pittsburgh, PA 15216",N,Beechview,6,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1920,2,5,-80.03201205,40.40933666
307109864,23038964,10,2023-03-16T17:53:00,"70 Block Addison Pl Pittsburgh, PA 15219",N,Central Business District,2,SIMPLE ASSAULT,2701 Simple Assault.,201,6,3,-79.97656667,40.44156833
307112150,23038991,99,2023-03-16T18:42:00,"200 Block Shiloh St Pittsburgh, PA 15211",N,Mount Washington,3,MENTAL 201/302,9498 302 (Mental),1914,2,5,-80.00757555,40.43072711
307112896,23039023,6,2023-03-16T19:25:00,"1900 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",2901,4,3,-79.98750881,40.3960604
307114212,23038958,10,2023-03-16T17:50:00,"Strawberry Way & Smithfield St Pittsburgh, PA 15219",Y,Central Business District,2,HARRASSMENT,2709(a) Harassment.,201,6,6,-79.99728926,40.44215131
307124049,23039103,10,2023-03-16T22:15:00,"Market Pl Pittsburgh, PA 15222",Y,Central Business District,2,SIMPLE ASSAULT,2701 Simple Assault.,201,6,6,-80.00446223,40.43791824
307141489,23039295,0,2023-03-17T09:00:00,"900 Block Farragut St Pittsburgh, PA 15206",N,Highland Park,5,99,9999 9999 - (Misc. Incident): ,1106,7,2,-79.91900197,40.47101619
307143965,23039305,0,2023-03-17T09:40:00,"300 Block Boggston Ave Pittsburgh, PA 15210",N,Beltzhoover,3,99,9999 9999 - (Misc. Incident): ,1809,3,5,-80.00994443,40.41811699
307150566,23039369,14,2023-03-17T09:00:00,"1700 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,CRIM MISCHIEF,3304 Criminal Mischief.,2901,4,3,-79.98896444,40.39839943
305751524,23031151,10,2023-03-01T17:20:00,"6600 Block Lyric St Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,HARRASSMENT,2709(a) Harassment.,1203,9,2,-79.90520064,40.464642
305752053,23031178,99,2023-03-01T18:14:00,"900 Block Berkshire Ave Pittsburgh, PA 15226",N,Brookline,6,MENTAL 201/302,9498 302 (Mental),1918,4,5,-80.01991998,40.39224011
305761456,23031383,0,2023-03-02T03:15:00,"600 Block Commonwealth Pl Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident): Welfare Check ,201,6,6,-80.00640882,40.44174089
306988320,23038291,0,2023-03-15T11:44:00,"2000 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,99,9994 PFA Service,305,6,3,-79.97998241,40.44358891
306998241,23038377,18,2023-03-15T15:04:00,"Strawberry Way & Coffey Way Pittsburgh, PA 15222",Y,Central Business District,2,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant,201,6,6,-79.99847008,40.44258897
306998898,23038310,99,2023-03-15T14:03:00,"1500 Block Letort St Pittsburgh, PA 15212",N,Brighton Heights,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2703,1,1,-80.0373425,40.48000108
307000046,23038318,11,2023-03-15T14:30:00,"2300 Block Spring St Pittsburgh, PA 15210",N,Arlington,3,CREDIT CARDS,4120 Identity Theft / 4106 Access Device Fraud,1603,3,3,-79.9745914,40.41613579
307000702,23038349,29,2023-03-15T15:18:00,"1600 Block Transverse Ave Pittsburgh, PA 15210",N,Carrick,3,RUNAWAYS - JUVENILE,029 Missing Juvenile,2902,4,3,-79.9832375,40.40087049
307005619,23038367,6,2023-03-14T15:15:00,"2200 Block Sarah St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1609,3,3,-79.97459941,40.42725506
307013842,23038379,11,2023-03-15T16:15:00,"30 Block Haberman Ave Pittsburgh, PA 15210",N,Beltzhoover,3,CREDIT CARDS,4106 Access Device Fraud / 4120 Identity Theft,1809,3,5,-80.00283609,40.42588882
307016853,23038551,99,2023-03-15T21:00:00,"800 Block E Warrington Ave Pittsburgh, PA 15210",N,Allentown,3,FOUND PROPERTY,9489 Found Property,1803,3,5,-79.99370505,40.42180226
307025118,23038587,0,2023-03-15T11:20:00,"2400 Block Park Hill Dr Pittsburgh, PA 15221",N,East Hills,5,99,9994 PFA Service,1306,9,2,-79.87386851,40.45584864
307031812,23035187,26,2023-03-08T08:55:00,"4700 Block 5th Blvd Pittsburgh, PA 15213",Y,Squirrel Hill North,4,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a)(4) Harassment Communicates Prohibited Acts,1401,8,3,-79.94674828,40.44687078
-3646142446,23032593,4,2023-03-04T05:30:00,"Sarah St & S 10th St Pittsburgh, PA 15203",N,South Side Flats,3,AGG-ASSAULT,2702 Aggravated Assault. / 2701 Simple Assault.,1702,3,3,-79.98855067,40.42769499
305992474,23032655,11,2023-03-02T09:30:00,"600 Block Wilkinsburg Ave Pittsburgh, PA 15221",N,East Hills,5,THEFT BY DECEPTION,3922 Theft by Deception.,1306,,,,
306011694,23032897,0,2023-03-04T20:20:00,"600 Block Delmont Ave Pittsburgh, PA 15210",N,Beltzhoover,3,99,9994 PFA Service,1809,3,5,-80.004165,40.41724736
306012819,23032844,27,2023-03-04T18:16:00,"2400 Block Penn Ave Pittsburgh, PA 15222",N,Strip District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,203,7,6,-79.98019683,40.45342295
306014095,23032857,27,2023-03-04T18:50:00,"Watson St & Jumonville St Pittsburgh, PA 15219",N,Bluff,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 1785 Proof of Financial Responsibility Following Accident. / 3742 Accidents Involving Death or Personal Injury,103,6,3,-79.97770119,40.43779052
306014560,23032921,11,2023-03-04T20:00:00,"100 Block Jucunda St Pittsburgh, PA 15210",N,Knoxville,3,BAD CHECKS,4105(a)(1) Bad Checks,3001,3,5,-79.98821973,40.41739906
306021156,23033010,14,2023-03-05T00:49:00,"1700 Block Penn Ave Pittsburgh, PA 15222",N,Strip District,2,CRIM MISCHIEF,3304 Criminal Mischief.,203,7,6,-79.98569266,40.44966476
307499821,23041981,0,2023-03-22T10:15:00,"1100 Block Chartiers Ave Pittsburgh, PA 15220",N,Crafton Heights,6,99,9994 PFA Service,2814,2,5,-80.04151543,40.44526066
307547242,23039463,10,2023-03-17T15:05:00,"4700 Block Liberty Ave Pittsburgh, PA 15224",Y,Bloomfield,5,HARRASSMENT,2709(a) Harassment. / 3304 Criminal Mischief.,809,7,2,-79.94985763,40.46207808
307554823,23042202,0,2023-03-22T16:49:00,"800 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,99,9998 Overdose Other,201,6,6,-79.99891919,40.44268636
307558863,23042219,26,2023-03-22T15:51:00,"1300 Block Western Ave Pittsburgh, PA 15233",N,Manchester,1,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a)(4) Harassment Communicates Prohibited Acts,2107,6,1,-80.02376304,40.45083099
307559818,23042227,5,2023-03-22T17:00:00,"100 Block Linnview Ave Pittsburgh, PA 15210",N,Carrick,3,BURGLARY,3502 Burglary. / 907 Possessing Instruments of Crime.,2902,4,3,-79.98886664,40.40324303
307574006,23042358,18,2023-03-22T21:22:00,"Oakwood St & Inglenook Pl Pittsburgh, PA 15221",Y,Homewood South,5,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 4303 General Lighting Requirements. / 9501 Bench Warrant / 1301 Registration and Certificate of Title Required.,1304,9,2,-79.88456571,40.45102177
307574506,23035416,10,2023-03-09T16:20:00,"Oakwood St & Inglenook Pl Pittsburgh, PA 15221",Y,Homewood North,5,TERRORISTIC THREATS,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats. / 2709(b) Stalking,1304,9,2,-79.88456571,40.45102177
306566573,23036044,10,2023-03-10T20:17:00,"3800 Block Penn Ave Pittsburgh, PA 15201",Y,Lower Lawrenceville,2,SIMPLE ASSAULT,2701 Simple Assault.,603,7,2,-79.9614655,40.4645991
306575364,23036108,5,2023-03-10T23:50:00,"Bigelow Sq Pittsburgh, PA 15219",N,Central Business District,2,BURGLARY,3502 Burglary.,201,6,6,-79.99444125,40.44085165
306591197,23036332,10,2023-03-10T16:00:00,"100 Block S Whitfield St Pittsburgh, PA 15206",Y,East Liberty,5,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1115,,,,
306593685,23035894,27,2023-03-10T13:30:00,"Greenfield Ave & Mc Caslin St Pittsburgh, PA 15217",N,Greenfield,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1517,5,3,-79.93633806,40.4241779
306651748,23036622,0,2023-03-12T00:41:00,"50 Block 11th St Pittsburgh, PA 15219",N,Central Business District,2,99,2709(b) Stalking,201,3,3,-79.98767554,40.4289675
306652110,23036661,0,2023-03-12T01:41:00,"100 Block 44th St Pittsburgh, PA 15201",N,Central Lawrenceville,2,99,9994 PFA Service,901,7,2,-79.96281719,40.4734892
305950311,23032435,10,2023-03-04T00:12:00,"Penn Ave & 10th St Pittsburgh, PA 15222",N,Central Business District,2,SIMPLE ASSAULT,2701 Simple Assault. / 3743 Accidents Involving Damage to Attended Veh. or Property,201,6,6,-79.99561241,40.44446437
-3664000041,23032578,99,2023-03-04T06:52:00,"4000 Block Brandon Rd Pittsburgh, PA 15212",N,Brighton Heights,1,MENTAL 201/302,9498 302 (Mental),2708,1,1,-80.04050427,40.48837308
305983983,23032617,6,2023-03-04T09:33:00,"3200 Block E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1609,2,5,-80.05035239,40.46151075
305992638,23032698,11,2023-03-03T12:00:00,"800 Block E Warrington Ave Pittsburgh, PA 15210",N,Allentown,3,IDENTITY THEFT,4120 Identity Theft,1803,3,5,-79.99370505,40.42180226
305996463,23032730,14,2023-03-04T12:30:00,"2600 Block Quarry St Pittsburgh, PA 15210",N,South Side Slopes,3,CRIM MISCHIEF,3304 Criminal Mischief.,1706,3,3,-79.98490976,40.42066668
307159165,23039442,26,2023-03-17T14:21:00,"20 Block Strayhorn Way Pittsburgh, PA 15219",Y,Terrace Village,2,CRIMINAL TRESPASS,3503 Criminal Trespass,510,,,,
307164750,23039495,0,2023-03-16T00:01:00,"50 Block Garetta St Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident): ,1414,,,,
307182132,23039566,99,2023-03-17T18:12:00,"10th St Brg Pittsburgh, PA 15219",N,Central Business District,2,MENTAL 201/302,9498 302 (Mental),201,,,-79.98926557,40.43262148
307183047,23039589,0,2023-03-17T18:54:00,"3500 Block Brighton Rd Pittsburgh, PA 15212",N,Brighton Heights,1,99,9998 Overdose Other,2708,1,1,-80.03096857,40.4794857
307183414,23039635,6,2023-03-17T18:30:00,"80 Block Auburn St Pittsburgh, PA 15206",N,Larimer,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1208,9,2,-79.91724342,40.46430254
307184675,23039661,6,2023-03-17T18:00:00,"600 Block Chester Ave Pittsburgh, PA 15214",N,Perry South,1,THEFT FROM AUTO,3934 Theft from Vehicle,2614,6,1,-80.01732531,40.46594113
307259279,23040500,10,2023-03-19T13:05:00,"300 Block N Braddock Ave Pittsburgh, PA 15208",Y,Point Breeze North,2,TERRORISTIC THREATS,2706 Terroristic Threats. / 2709(a)(3) Harassment No Legitimate Purpose / 5503 Disorderly Conduct.,103,9,2,-79.8928014,40.44965463
305787164,23031498,99,2023-03-02T09:40:00,"2000 Block Larkins Way Pittsburgh, PA 15203",Y,South Side Flats,3,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,1702,3,3,-79.97774464,40.42722301
305825006,23031620,3,2023-03-02T13:16:00,"800 Block Liberty Ave Pittsburgh, PA 15222",Y,Central Business District,2,ROBBERY,3701 Robbery. / 5104 Resisting Arrest or Other Law Enforcement. / 3925 Receiving Stolen Property. / 6106 Firearms not to be Carried without a License.,201,6,6,-79.99891919,40.44268636
305830761,23031691,6,2023-03-02T15:53:00,"6300 Block Walnut St Pittsburgh, PA 15206",N,Shadyside,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,708,8,2,-79.92251377,40.45587861
305842040,23031757,6,2023-03-02T17:15:00,"400 Block 56th St Pittsburgh, PA 15201",N,Lower Lawrenceville,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,603,,,,
305842826,23031710,18,2023-03-02T16:40:00,"Middle St & Virgin Way Pittsburgh, PA 15212",Y,East Allegheny,1,STOLEN PROPERTY - OTHER,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 9501 Bench Warrant,2304,1,1,-79.99909865,40.45343808
305850929,23031789,5,2023-03-02T11:30:00,"800 Block Citadel St Pittsburgh, PA 15204",N,Sheraden,6,BURGLARY,3502 Burglary.,2022,2,5,-80.0583203,40.45506182
305852992,23031724,99,2023-03-02T17:05:00,"Sherwood Ave & Robina St Pittsburgh, PA 15204",N,Sheraden,6,FOUND PROPERTY,9489 Found Property,2018,2,5,-80.05608817,40.45499713
305857081,23031889,99,2023-03-02T23:33:00,"6200 Block Broad St Pittsburgh, PA 15206",N,East Liberty,5,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,1115,9,2,-79.92205139,40.46165532
